DaysPostVax,Animal,OD,Group
d1-birthday,6.1,0.3284,EcA
d1-birthday,6.2,0.27545,EcA
d1-birthday,6.3,0.27875,EcA
d1-birthday,6.4,0.249,EcA
d1-birthday,6.5,0.32755,EcA
d1-birthday,7.1,0.4765,EcA
d1-birthday,7.2,0.383,EcA
d1-birthday,7.3,0.365,EcA
d1-birthday,7.4,0.21735,EcA
d1-birthday,7.5,0.454,EcA
d1-birthday,7.6,0.516,EcA
d1-birthday,8.1,0.1923,EcA
d1-birthday,8.2,0.13535,EcA
d1-birthday,8.3,0.1151,EcA
d1-birthday,8.4,0.0729,EcA
d1-birthday,9.1,0.73045,EcA
d1-birthday,9.2,0.25635,EcA
d1-birthday,9.3,0.862,EcA
d1-birthday,9.4,1.0503,EcA
d1-birthday,9.5,1.3176,EcA
d1-birthday,9.6,0.73395,EcA
d1-birthday,9.7,0.64625,EcA
d1-birthday,9.8,0.75665,EcA
d1-birthday,9.9,0.9769,EcA
d1-birthday,10.1,0.041,EcA
d1-birthday,10.2,0.0785,EcA
d1-birthday,10.3,0.0895,EcA
d1-birthday,10.4,0.1105,EcA
d1-birthday,10.5,0.047,EcA
d1-birthday,10.6,0.145,EcA
d1-birthday,10.7,0.154,EcA
d1-birthday,10.8,0.083,EcA
d1-birthday,11.1,0.51415,Ec
d1-birthday,11.2,0.4253,Ec
d1-birthday,11.3,0.27305,Ec
d1-birthday,14.2.1,0.15875,Ec
d1-birthday,14.2.2,0.2377,Ec
d1-birthday,14.2.3,0.2621,Ec
d1-birthday,14.2.4,0.24285,Ec
d1-birthday,14.2.5,0.3249,Ec
d1-birthday,16.2.1,0.34315,Ec
d1-birthday,16.2.2,0.04945,Ec
d1-birthday,16.2.3,0.2154,Ec
d1-birthday,16.2.4,0.2639,Ec
d14/wk2,1.1,0.266,EcA
d14/wk2,1.2,0.214,EcA
d14/wk2,1.4,0.154,EcA
d14/wk2,1.6,0.22235,EcA
d14/wk2,1.7,0.2594,EcA
d14/wk2,2.1,1.295125,EcA
d14/wk2,2.2,0.7449,EcA
d14/wk2,2.3,1.276925,EcA
d14/wk2,2.5,1.38775,EcA
d14/wk2,2.6,1.42285,EcA
d14/wk2,3.1,3.27348,EcA
d14/wk2,3.2,3.1983,EcA
d14/wk2,3.4,3.3222,EcA
d14/wk2,4.1,2.21,EcA
d14/wk2,4.2,2.255,EcA
d14/wk2,4.3,2.392,EcA
d14/wk2,4.4,2.297,EcA
d14/wk2,4.5,2.48,EcA
d14/wk2,5.2,2.495,EcA
d14/wk2,5.5,2.446,EcA
d14/wk2,12.4,0.22945,Ec
d14/wk2,12.6,0.2802,Ec
d14/wk2,13.1,0.5119,Ec
d14/wk2,13.2,0.3772,Ec
d14/wk2,13.3,0.5262,Ec
d14/wk2,13.4,0.6137,Ec
d14/wk2,13.5,0.6337,Ec
d14/wk2,14.3,0.41875,Ec
d14/wk2,14.4,0.22645,Ec
d14/wk2,14.6,0.34635,Ec
d14/wk2,14.7,0.5083,Ec
d14/wk2,14.8,0.32095,Ec
d14/wk2,15.1,0.62,Ec
d14/wk2,15.2,0.76305,Ec
d14/wk2,15.3,0.23895,Ec
d14/wk2,15.5,0.24335,Ec
d14/wk2,16.2,0.3464,Ec
d14/wk2,16.3,0.161,Ec
d14/wk2,16.4,0.27845,Ec
d14/wk2,16.5,0.29195,Ec
d14/wk2,16.6,0.34195,Ec
d21/wk3,1.1,0.0536,EcA
d21/wk3,1.2,0.07685,EcA
d21/wk3,1.3,0.0404,EcA
d21/wk3,1.4,0.0524,EcA
d21/wk3,1.6,0.056,EcA
d21/wk3,1.7,0.0709,EcA
d21/wk3,2.1,0.57035,EcA
d21/wk3,2.2,0.5867,EcA
d21/wk3,2.3,0.46085,EcA
d21/wk3,2.4,0.5066,EcA
d21/wk3,2.5,0.6276,EcA
d21/wk3,2.6,0.4585,EcA
d21/wk3,3.1,3.1091,EcA
d21/wk3,3.2,3.15095,EcA
d21/wk3,3.3,3.16285,EcA
d21/wk3,3.4,3.03975,EcA
d21/wk3,4.1,1.33925,EcA
d21/wk3,4.2,1.17645,EcA
d21/wk3,5.1,1.9725,EcA
d21/wk3,5.2,1.59695,EcA
d21/wk3,5.3,1.8655,EcA
d21/wk3,5.4,1.7236,EcA
d21/wk3,5.5,2.083,EcA
d21/wk3,12.1,0.03735,Ec
d21/wk3,12.2,0.04605,Ec
d21/wk3,12.3,0.07285,Ec
d21/wk3,12.5,0.07965,Ec
d21/wk3,12.6,0.08635,Ec
d21/wk3,12.7,0.09795,Ec
d21/wk3,13.1,0.2457,Ec
d21/wk3,13.2,0.2995,Ec
d21/wk3,13.3,0.2864,Ec
d21/wk3,13.4,0.17605,Ec
d21/wk3,13.5,0.17305,Ec
d21/wk3,13.6,0.19615,Ec
